# BJD-2457409, Flux, Error
-7.401298153372408706e-01 9.994966402835635533e-01 1.003514998511482266e-04
-7.196979233804086107e-01 9.993343966821330859e-01 1.003514998511482266e-04
-6.992659318957521464e-01 9.994141040183193159e-01 1.003514998511482266e-04
-6.788340408702424611e-01 9.984803964364231676e-01 1.003514998511482266e-04
-6.584021498447327758e-01 9.993355142605260255e-01 1.003514998511482266e-04
-6.379702597578216228e-01 9.990700926070013033e-01 1.003514998511482266e-04
-6.175383701292957994e-01 9.990424210084719592e-01 1.003514998511482266e-04
-5.971064805007699761e-01 9.987495134561348298e-01 1.003514998511482266e-04
-5.766745918108426849e-01 9.996390487220920829e-01 1.003514998511482266e-04
-5.562427031136394362e-01 9.991951224196763404e-01 1.003514998511482266e-04
-5.358107153469973127e-01 9.995441149286883320e-01 1.003514998511482266e-04
-5.153789275891540456e-01 9.995043093369975207e-01 1.003514998511482266e-04
-4.949470402889346587e-01 9.990687699003493183e-01 1.003514998511482266e-04
-4.745150534608910675e-01 9.991030482093505860e-01 1.003514998511482266e-04
-4.540832670927557047e-01 9.987097904673275517e-01 1.003514998511482266e-04
-4.336513811895201798e-01 9.993497050849472485e-01 1.003514998511482266e-04
-4.132193952855232055e-01 1.005898465472571113e+00 1.003514998511482266e-04
-3.927876103216476622e-01 9.994645262810190056e-01 1.003514998511482266e-04
-3.723557258153959992e-01 9.987421241170909569e-01 1.003514998511482266e-04
-3.519237413156588445e-01 9.985711147939579924e-01 1.003514998511482266e-04
-3.314919577414912055e-01 9.980858574603989064e-01 1.003514998511482266e-04
-3.110600741665621172e-01 9.998302722447970359e-01 1.003514998511482266e-04
-2.906280910565328668e-01 9.995053989516077264e-01 1.003514998511482266e-04
-2.701963084209637600e-01 9.991776221405568315e-01 1.003514998511482266e-04
-2.497644262430185336e-01 9.995165933858588536e-01 1.003514998511482266e-04
-2.293324445372491027e-01 1.000268197857921759e+00 1.003514998511482266e-04
-2.089006632913879002e-01 1.000835246721945904e+00 1.003514998511482266e-04
-1.884687825104265357e-01 1.000619550134331348e+00 1.003514998511482266e-04
-1.680368017287037219e-01 1.000524808484610784e+00 1.003514998511482266e-04
-1.476050218871023390e-01 9.927972078809571554e-01 1.003514998511482266e-04
-1.271731420374635491e-01 9.825940337018321813e-01 1.003514998511482266e-04
-1.067411631256618421e-01 9.517239558076758810e-01 1.003514998511482266e-04
-8.630938420810707612e-02 8.919810461867556661e-01 1.003514998511482266e-04
-6.587750575545214815e-02 8.138542843832858864e-01 1.003514998511482266e-04
-4.544552776769705815e-02 7.446757532777441568e-01 1.003514998511482266e-04
-2.501375025440211175e-02 7.165674046027964428e-01 1.003514998511482266e-04
-4.581873198731045704e-03 7.420889602106766070e-01 1.003514998511482266e-04
1.585010338476422476e-02 7.719257870474247607e-01 1.003514998511482266e-04
3.628187950835126685e-02 8.086559548107029594e-01 1.003514998511482266e-04
5.671375563269975828e-02 8.600145325326525869e-01 1.003514998511482266e-04
7.714573082648712443e-02 8.969970435425588251e-01 1.003514998511482266e-04
9.757750601147563430e-02 9.419287445204302944e-01 1.003514998511482266e-04
1.180093807388402638e-01 9.679295195511995464e-01 1.003514998511482266e-04
1.384413549940290977e-01 9.868394615214672871e-01 1.003514998511482266e-04
1.588732287900711526e-01 9.975874146034826584e-01 1.003514998511482266e-04
1.793051021204519202e-01 9.999659250650388964e-01 1.003514998511482266e-04
1.997369749851714005e-01 9.994512592764108749e-01 1.003514998511482266e-04
2.201688473769536358e-01 9.998046354565301996e-01 1.003514998511482266e-04
2.406007197760118288e-01 9.991793853570783979e-01 1.003514998511482266e-04
2.610325912364714895e-01 9.989368845300868882e-01 1.003514998511482266e-04
2.814644627042071079e-01 9.991875565444008345e-01 1.003514998511482266e-04
3.018964332413816010e-01 9.995832808432401073e-01 1.003514998511482266e-04
3.223282037770331954e-01 1.000863827636256476e+00 1.003514998511482266e-04
3.427600738405089942e-01 1.000780437353048002e+00 1.003514998511482266e-04
3.631920434463609126e-01 9.996649051863099045e-01 1.003514998511482266e-04
3.836238125777526875e-01 1.000360145254688859e+00 1.003514998511482266e-04
4.040556812515205820e-01 1.000721815322999531e+00 1.003514998511482266e-04
4.244876499260499259e-01 1.000586822203677340e+00 1.003514998511482266e-04
4.449194176677337964e-01 9.993267633864066912e-01 1.003514998511482266e-04
4.653512854029031587e-01 9.996971802779781591e-01 1.003514998511482266e-04
4.857832522147873533e-01 1.000502361172688426e+00 1.003514998511482266e-04
5.062150190178726916e-01 1.001182343942546682e+00 1.003514998511482266e-04
5.266468853633341496e-01 1.000325821283412964e+00 1.003514998511482266e-04
5.470787512431343202e-01 1.000361345862540663e+00 1.003514998511482266e-04
5.675106166499972460e-01 9.993514725525198816e-01 1.003514998511482266e-04
5.879424820641361293e-01 1.000688566632616849e+00 1.003514998511482266e-04
6.083743465469524381e-01 1.000470744866549078e+00 1.003514998511482266e-04
6.288062105568315019e-01 1.000747108315824807e+00 1.003514998511482266e-04
6.492380745739865233e-01 1.000443360530574477e+00 1.003514998511482266e-04
6.696700381262417068e-01 9.999018185368666600e-01 1.003514998511482266e-04
6.901018007383754593e-01 1.001185384318632465e+00 1.003514998511482266e-04
7.309656255138179404e-01 1.000633444075374801e+00 1.003514998511482266e-04
