# BJD-2454833, Flux, Error
2.559088955619045009e+03 1.006619714931310527e+00 1.003514998511482266e-04
2.559109387910539226e+03 1.006295271573262706e+00 1.003514998511482266e-04
2.559129820201094844e+03 1.006234844995231859e+00 1.003514998511482266e-04
2.559150252491192077e+03 1.006483690247673923e+00 1.003514998511482266e-04
2.559170684780823649e+03 1.005736002955802011e+00 1.003514998511482266e-04
2.559191117069982283e+03 1.005016387203601758e+00 1.003514998511482266e-04
2.559211549458217632e+03 1.005891313766254624e+00 1.003514998511482266e-04
2.559231981646451459e+03 1.005104858311607563e+00 1.003514998511482266e-04
2.559272846320120152e+03 1.005491565388085595e+00 1.003514998511482266e-04
2.559293278506491333e+03 1.004484525324419675e+00 1.003514998511482266e-04
2.559313710891925439e+03 1.004370089877684169e+00 1.003514998511482266e-04
2.559334143176900398e+03 1.003896940677287297e+00 1.003514998511482266e-04
2.559354575361408934e+03 1.004814524428695011e+00 1.003514998511482266e-04
2.559375007745446055e+03 1.003640680911627836e+00 1.003514998511482266e-04
2.559395440028558369e+03 1.004471581352895715e+00 1.003514998511482266e-04
2.559415872211204260e+03 1.004286300293011580e+00 1.003514998511482266e-04
2.559436304593378736e+03 1.003667773538037267e+00 1.003514998511482266e-04
2.559456736875094066e+03 1.003553326604238460e+00 1.003514998511482266e-04
2.559518033716507489e+03 1.003514745176483203e+00 1.003514998511482266e-04
2.559538465995894512e+03 1.002225549601002630e+00 1.003514998511482266e-04
2.559558898274342937e+03 1.002611529199127993e+00 1.003514998511482266e-04
2.559579330552332976e+03 1.002381366121686934e+00 1.003514998511482266e-04
2.559599762829850079e+03 1.002922717523159424e+00 1.003514998511482266e-04
2.559620195106908795e+03 1.002496717859319819e+00 1.003514998511482266e-04
2.559640627383501851e+03 1.001869372459382568e+00 1.003514998511482266e-04
2.559661059659163584e+03 1.002171517998934780e+00 1.003514998511482266e-04
2.559681491934352380e+03 1.001895035345876206e+00 1.003514998511482266e-04
2.559701924209082790e+03 1.002565504893522474e+00 1.003514998511482266e-04
2.559722356583341025e+03 1.001710630759299114e+00 1.003514998511482266e-04
2.559763221029541455e+03 1.001142238706145493e+00 1.003514998511482266e-04
2.559783653401937045e+03 1.000506345318006973e+00 1.003514998511482266e-04
2.559804085573872726e+03 1.001109740607926568e+00 1.003514998511482266e-04
2.559824517844877846e+03 1.000411145371543409e+00 1.003514998511482266e-04
2.559844950215876452e+03 1.000809557649491310e+00 1.003514998511482266e-04
2.559865382385949488e+03 1.000900458735477505e+00 1.003514998511482266e-04
2.559885814655091963e+03 1.000074764316798204e+00 1.003514998511482266e-04
2.559906247024227923e+03 9.999665969910249697e-01 1.003514998511482266e-04
2.559926679192438314e+03 1.000655552624049260e+00 1.003514998511482266e-04
2.559947111560184567e+03 1.000113042652558848e+00 1.003514998511482266e-04
2.559967543827457121e+03 9.998516834884636495e-01 1.003514998511482266e-04
2.560008408360154135e+03 9.989900299286174068e-01 1.003514998511482266e-04
2.560028840626029705e+03 9.996086150943375159e-01 1.003514998511482266e-04
2.560049272890981229e+03 1.001086725816069833e+00 1.003514998511482266e-04
2.560069705155001429e+03 9.997346325388892785e-01 1.003514998511482266e-04
2.560090137419014354e+03 9.990376268825434947e-01 1.003514998511482266e-04
2.560110569682103232e+03 9.994569632453025321e-01 1.003514998511482266e-04
2.560131001944726449e+03 9.989195200778602235e-01 1.003514998511482266e-04
2.560151434206876729e+03 1.000085453116187795e+00 1.003514998511482266e-04
2.560171866468568624e+03 9.984087423911102155e-01 1.003514998511482266e-04
2.560192298829329957e+03 9.991099455949188357e-01 1.003514998511482266e-04
2.560212730989616830e+03 9.994266677219180162e-01 1.003514998511482266e-04
2.560253595608810429e+03 9.995175295568297091e-01 1.003514998511482266e-04
2.560274027767700318e+03 9.984117511353117758e-01 1.003514998511482266e-04
2.560294460125667683e+03 9.989302080614556045e-01 1.003514998511482266e-04
2.560314892383168626e+03 9.999406542145481414e-01 1.003514998511482266e-04
2.560335324540195870e+03 9.982500358867679724e-01 1.003514998511482266e-04
2.560355756896766252e+03 9.981428192927216392e-01 1.003514998511482266e-04
2.560376189152404550e+03 9.978790628158407117e-01 1.003514998511482266e-04
2.560396621307569148e+03 9.991413365613361908e-01 1.003514998511482266e-04
2.560417053662276885e+03 9.993305781577955793e-01 1.003514998511482266e-04
2.560437485816517437e+03 9.984118959744874289e-01 1.003514998511482266e-04
2.560457918070285814e+03 9.985485540044191088e-01 1.003514998511482266e-04
2.560498782575508812e+03 9.991042363606789101e-01 1.003514998511482266e-04
2.560519214827414544e+03 9.986850033689246287e-01 1.003514998511482266e-04
2.560539647178862651e+03 9.986293005424736746e-01 1.003514998511482266e-04
2.560560079429378675e+03 9.980096212670523936e-01 1.003514998511482266e-04
