# BJD-2454833, Flux, Error
2.559068523327085131e+03 1.006644473329438183e+00 1.003514998511492024e-04
2.559088955619045009e+03 1.006677745639290800e+00 1.003514998511492024e-04
2.559109387910539226e+03 1.006353283577379631e+00 1.003514998511492024e-04
2.559129820201094844e+03 1.006292853515811769e+00 1.003514998511492024e-04
2.559150252491192077e+03 1.006541713113955350e+00 1.003514998511492024e-04
2.559170684780823649e+03 1.005793982718593549e+00 1.003514998511492024e-04
2.559191117069982283e+03 1.005074325481201791e+00 1.003514998511492024e-04
2.559211549458217632e+03 1.005949302482572527e+00 1.003514998511492024e-04
2.559231981646451459e+03 1.005162801689486241e+00 1.003514998511492024e-04
2.559252413933747448e+03 1.004960535024250090e+00 1.003514998511492024e-04
2.559272846320120152e+03 1.005549531059274360e+00 1.003514998511492024e-04
2.559293278506491333e+03 1.004542432940667807e+00 1.003514998511492024e-04
2.559313710891925439e+03 1.004427990896832990e+00 1.003514998511492024e-04
2.559334143176900398e+03 1.003954814419816710e+00 1.003514998511492024e-04
2.559354575361408934e+03 1.004872451069090289e+00 1.003514998511492024e-04
2.559375007745446055e+03 1.003698539881015428e+00 1.003514998511492024e-04
2.559395440028558369e+03 1.004529488222935640e+00 1.003514998511492024e-04
2.559415872211204260e+03 1.004344196481767426e+00 1.003514998511492024e-04
2.559436304593378736e+03 1.003725634069290162e+00 1.003514998511492024e-04
2.559456736875094066e+03 1.003611180537729908e+00 1.003514998511492024e-04
2.559477169055877312e+03 1.011794803543933252e+00 1.003514998511492024e-04
2.559497601436189143e+03 1.003403223358869667e+00 1.003514998511492024e-04
2.559518033716507489e+03 1.003572596885790702e+00 1.003514998511492024e-04
2.559538465995894512e+03 1.002283326989361623e+00 1.003514998511492024e-04
2.559558898274342937e+03 1.002669328838858620e+00 1.003514998511492024e-04
2.559579330552332976e+03 1.002439152492726304e+00 1.003514998511492024e-04
2.559599762829850079e+03 1.002980535102612869e+00 1.003514998511492024e-04
2.559620195106908795e+03 1.002554510880281580e+00 1.003514998511492024e-04
2.559640627383501851e+03 1.001927129314454490e+00 1.003514998511492024e-04
2.559661059659163584e+03 1.002229292272421191e+00 1.003514998511492024e-04
2.559681491934352380e+03 1.001952793680390030e+00 1.003514998511492024e-04
2.559701924209082790e+03 1.002623301879993933e+00 1.003514998511492024e-04
2.559722356583341025e+03 1.001768378463056886e+00 1.003514998511492024e-04
2.559742788756673690e+03 1.001918573505741872e+00 1.003514998511492024e-04
2.559763221029541455e+03 1.001199953642619933e+00 1.003514998511492024e-04
2.559783653401937045e+03 1.000564023595807983e+00 1.003514998511492024e-04
2.559804085573872726e+03 1.001167453670915419e+00 1.003514998511492024e-04
2.559824517844877846e+03 1.000468818161154294e+00 1.003514998511492024e-04
2.559844950215876452e+03 1.000867253407206503e+00 1.003514998511492024e-04
2.559865382385949488e+03 1.000958159733557284e+00 1.003514998511492024e-04
2.559885814655091963e+03 1.000132417714348243e+00 1.003514998511492024e-04
2.559906247024227923e+03 1.000024244152827313e+00 1.003514998511492024e-04
2.559926679192438314e+03 1.000713239503515206e+00 1.003514998511492024e-04
2.559947111560184567e+03 1.000170698256819923e+00 1.003514998511492024e-04
2.559967543827457121e+03 9.999093240256075044e-01 1.003514998511492024e-04
2.559987975994270528e+03 9.994784667723659588e-01 1.003514998511492024e-04
2.560008408360154135e+03 9.990476207922197593e-01 1.003514998511492024e-04
2.560028840626029705e+03 9.996662416188102362e-01 1.003514998511492024e-04
2.560049272890981229e+03 1.001144437552276667e+00 1.003514998511492024e-04
2.560069705155001429e+03 9.997922663281527678e-01 1.003514998511492024e-04
2.560090137419014354e+03 9.990952204900669376e-01 1.003514998511492024e-04
2.560110569682103232e+03 9.995145810271844899e-01 1.003514998511492024e-04
2.560131001944726449e+03 9.989771068766341022e-01 1.003514998511492024e-04
2.560151434206876729e+03 1.000143107129937148e+00 1.003514998511492024e-04
2.560171866468568624e+03 9.984662997440165721e-01 1.003514998511492024e-04
2.560192298829329957e+03 9.991675433715500043e-01 1.003514998511492024e-04
2.560212730989616830e+03 9.994842837572908145e-01 1.003514998511492024e-04
2.560233163249446079e+03 9.986971658935673846e-01 1.003514998511492024e-04
2.560253595608810429e+03 9.995751508303043487e-01 1.003514998511492024e-04
2.560274027767700318e+03 9.984693086616694968e-01 1.003514998511492024e-04
2.560294460125667683e+03 9.989877954763819456e-01 1.003514998511492024e-04
2.560314892383168626e+03 9.999982998807731560e-01 1.003514998511492024e-04
2.560335324540195870e+03 9.983075840903891107e-01 1.003514998511492024e-04
2.560355756896766252e+03 9.982003613154040167e-01 1.003514998511492024e-04
2.560376189152404550e+03 9.979365896332028640e-01 1.003514998511492024e-04
2.560396621307569148e+03 9.991989361476278919e-01 1.003514998511492024e-04
2.560417053662276885e+03 9.993881886536926107e-01 1.003514998511492024e-04
2.560437485816517437e+03 9.984694535091950263e-01 1.003514998511492024e-04
2.560457918070285814e+03 9.986061194173373456e-01 1.003514998511492024e-04
2.560478350423130905e+03 9.991794202773361944e-01 1.003514998511492024e-04
2.560498782575508812e+03 9.991618338081779127e-01 1.003514998511492024e-04
2.560519214827414544e+03 9.987425766480242384e-01 1.003514998511492024e-04
2.560539647178862651e+03 9.986868706103561033e-01 1.003514998511492024e-04
2.560560079429378675e+03 9.980671556109901310e-01 1.003514998511492024e-04
2.560600943929006462e+03 9.986586793986418353e-01 1.003514998511492024e-04
2.560621376178125502e+03 9.983118504948179650e-01 1.003514998511492024e-04
2.560641808326770843e+03 9.991837693104699269e-01 1.003514998511492024e-04
2.560662240674493660e+03 9.978245984168843119e-01 1.003514998511492024e-04
2.560682672922215716e+03 9.952056651070523285e-01 1.003514998511492024e-04
2.560703105268999934e+03 9.873007248156407956e-01 1.003514998511492024e-04
2.560723537414858583e+03 9.955776821411211897e-01 1.003514998511492024e-04
2.560743969660717994e+03 9.989125065013947369e-01 1.003514998511492024e-04
2.560764402005639568e+03 9.981274400380240053e-01 1.003514998511492024e-04
2.560784834150101233e+03 9.977709051593195433e-01 1.003514998511492024e-04
2.560805266394097998e+03 9.985420375903293344e-01 1.003514998511492024e-04
2.560825698737622588e+03 9.980331915973901236e-01 1.003514998511492024e-04
2.560846130880687269e+03 9.975179120463105731e-01 1.003514998511492024e-04
2.560866563122821390e+03 9.990170120135235532e-01 1.003514998511492024e-04
2.560886995464483334e+03 9.978498342324888526e-01 1.003514998511492024e-04
2.560907427605685371e+03 9.984511878598599788e-01 1.003514998511492024e-04
2.560927859845956846e+03 9.973665232112021162e-01 1.003514998511492024e-04
2.560948292186221806e+03 9.977737000755603214e-01 1.003514998511492024e-04
2.560968724325561197e+03 8.060076180739609297e-01 1.003514998511492024e-04
2.560989156564435689e+03 9.975213883173238427e-01 1.003514998511492024e-04
2.561009588902838004e+03 9.979986838057639531e-01 1.003514998511492024e-04
2.561030021140781173e+03 9.988703752755321297e-01 1.003514998511492024e-04
2.561050453277792258e+03 9.977340103895251389e-01 1.003514998511492024e-04
2.561070885614331928e+03 9.973175912952212396e-01 1.003514998511492024e-04
2.561091317850412452e+03 9.970517877865092693e-01 1.003514998511492024e-04
2.561111749986026553e+03 9.977306338800090435e-01 1.003514998511492024e-04
2.561132182321169239e+03 9.976268201055813467e-01 1.003514998511492024e-04
2.561152614455386356e+03 9.970490169774347544e-01 1.003514998511492024e-04
2.561173046789132059e+03 9.974732586801904333e-01 1.003514998511492024e-04
2.561193479022418614e+03 9.984963862074137664e-01 1.003514998511492024e-04
2.561213911155238748e+03 9.980739566288053810e-01 1.003514998511492024e-04
2.561234343487594742e+03 9.981894083049518418e-01 1.003514998511492024e-04
2.561254775719011377e+03 9.973429076508912861e-01 1.003514998511492024e-04
2.561275207849968865e+03 9.984116176411590438e-01 1.003514998511492024e-04
2.561295640180454939e+03 9.974461175483376740e-01 1.003514998511492024e-04
2.561316072410481866e+03 9.971477138092609271e-01 1.003514998511492024e-04
2.561336504539576708e+03 9.975883623827853652e-01 1.003514998511492024e-04
2.561356936868673074e+03 9.968224539958474573e-01 1.003514998511492024e-04
2.561377369096830080e+03 9.970765165733833646e-01 1.003514998511492024e-04
2.561397801324528700e+03 9.975914382845959549e-01 1.003514998511492024e-04
2.561418233551754383e+03 9.986060894517283515e-01 1.003514998511492024e-04
2.561438665778056020e+03 9.973728501004600622e-01 1.003514998511492024e-04
