HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456081.10497,2012-06-02.6082380,ba,1.79,16.265,14.596,0.047,5.570,0.242,V
2456082.10518,2012-06-03.6083731,ba,2.02,15.584,14.845,0.112,4.426,0.450,V
2456193.95763,2012-09-23.4520988,ba,2.04,16.766,14.505,0.028,6.053,0.154,V
2456193.95935,2012-09-23.4538104,ba,2.05,16.671,14.525,0.030,5.941,0.167,V
2456195.95905,2012-09-25.4534656,ba,1.76,16.291,14.490,0.042,6.135,0.236,V
2456195.96070,2012-09-25.4551171,ba,1.76,16.313,14.453,0.039,6.350,0.231,V
2456214.91234,2012-10-14.4066412,ba,2.22,17.016,14.445,0.021,6.400,0.124,V
2456214.91407,2012-10-14.4083699,ba,2.22,16.855,14.416,0.024,6.571,0.143,V
2456216.96426,2012-10-16.4585894,ba,2.14,16.980,14.455,0.022,6.341,0.128,V
2456216.96599,2012-10-16.4603160,ba,2.14,16.906,14.465,0.024,6.277,0.138,V
2456217.95629,2012-10-17.4506273,ba,2.20,16.806,14.416,0.025,6.568,0.149,V
2456217.95800,2012-10-17.4523400,ba,2.19,16.632,14.368,0.034,6.865,0.217,V
2456221.02190,2012-10-20.5163157,bb,1.77,16.856,14.477,0.024,6.209,0.139,V
2456221.02364,2012-10-20.5180312,bb,1.74,16.870,14.485,0.024,6.165,0.138,V
2456223.03866,2012-10-22.5331067,bb,2.01,99.990,99.990,99.990,99.990,99.990,V
2456224.89023,2012-10-24.3847099,bb,1.95,16.765,14.535,0.028,5.886,0.152,V
2456224.89187,2012-10-24.3863476,bb,1.87,16.575,14.527,0.033,5.929,0.180,V
2456230.90433,2012-10-30.3990034,bb,2.00,16.018,14.526,0.055,5.936,0.301,V
2456230.90590,2012-10-30.4005835,bb,2.00,16.091,14.534,0.052,5.892,0.281,V
2456232.98755,2012-11-01.4823084,bb,1.74,16.311,14.543,0.043,5.846,0.230,V
2456232.98917,2012-11-01.4839219,bb,1.83,16.338,14.505,0.041,6.050,0.224,V
2456235.82783,2012-11-04.3226998,bb,1.82,17.095,14.467,0.019,6.265,0.112,V
2456235.82956,2012-11-04.3244387,bb,2.01,16.960,14.533,0.023,5.897,0.126,V
2456241.84926,2012-11-10.3444254,bb,2.39,17.064,14.500,0.021,6.079,0.115,V
2456241.85100,2012-11-10.3461695,bb,2.41,17.040,14.486,0.021,6.159,0.118,V
2456243.98277,2012-11-12.4780547,bb,2.18,16.346,14.150,0.035,8.397,0.267,V
2456243.98438,2012-11-12.4796730,bb,2.24,16.417,14.925,0.065,4.112,0.245,V
2456247.99130,2012-11-16.4868236,bb,1.98,16.043,14.827,0.073,4.499,0.301,V
2456247.99288,2012-11-16.4884026,bb,1.69,15.134,14.802,0.163,4.606,0.687,V
2456252.78597,2012-11-21.2818122,bb,1.81,16.288,14.495,0.042,6.104,0.235,V
2456252.78760,2012-11-21.2834355,bb,1.72,16.045,14.457,0.051,6.322,0.294,V
2456257.89265,2012-11-26.3888575,bb,2.31,15.502,14.434,0.082,6.464,0.483,V
2456257.89419,2012-11-26.3904037,bb,2.15,15.875,14.572,0.066,5.690,0.343,V
2456268.80481,2012-12-07.3018944,bb,1.78,16.767,14.525,0.031,5.942,0.166,V
2456268.80653,2012-12-07.3036163,bb,1.80,16.683,14.497,0.032,6.102,0.179,V
2456271.93290,2012-12-10.4302625,bb,2.05,99.990,99.990,99.990,99.990,99.990,V
